,mu,omega,alpha[1],beta[1],nu
2019-01-03,0.06553018827995367,0.024403952660054587,0.1737717699918126,0.826228230008131,4.995640290378656
2019-01-04,0.06416345407640033,0.023865703387462345,0.17333691750416846,0.8266630824953238,5.117471622531703
2019-01-07,0.06203301383572049,0.0229042438766032,0.1682819179028944,0.8317180820239998,5.052381982240561
2019-01-08,0.05991359895358996,0.022450226654399823,0.16517508458309865,0.8348249154249987,4.984749489822896
2019-01-09,0.05903388100745945,0.021842830501713952,0.16238063219809848,0.8376193678032948,4.937752854587313
2019-01-10,0.058512146216067186,0.0216555175489877,0.16169984009928237,0.8383001598982904,4.895847496468866
2019-01-11,0.05831395429302012,0.022122582115805204,0.16388294892462382,0.8361170510745034,4.840438662215053
2019-01-14,0.05542049123463375,0.022895645254224238,0.16698458450172257,0.8330154154985855,4.783996098077989
2019-01-15,0.05497280738107669,0.022018203567564367,0.16398406833750095,0.8360159316621211,4.804506199188709
2019-01-16,0.056228633702390146,0.02328545415922554,0.1700878311850814,0.8299121688146219,4.755704799950818
2019-01-17,0.05579164543258386,0.023809050084132984,0.17228288907418127,0.8277171109254228,4.721524236001216
2019-01-18,0.05764698351895268,0.019877757048489233,0.15755176495747575,0.8424482350425243,4.868218525785162
2019-01-22,0.053498699521259775,0.016843512867861923,0.14561948573840822,0.8543805142615918,5.034037030306817
2019-01-23,0.05285342970562595,0.017421738850737303,0.14874290784518449,0.8512570921548155,4.9801598224819745
2019-01-24,0.05321484628957551,0.01806625080468359,0.15380583002488143,0.8461941699751185,4.989057012832472
2019-01-25,0.0555430190251112,0.01796709616841581,0.1514633070045567,0.8459692989920379,5.160742892766178
2019-01-28,0.053349647957290816,0.01788595838586783,0.14939358816430037,0.8456895990745099,5.352820063886871
2019-01-29,0.051854094518606154,0.019295510575671485,0.1540235889200532,0.8394530855004262,5.313049040025853
2019-01-30,0.05580247111399226,0.01707956189580611,0.14308151805911049,0.8503844415923599,5.499026544789475
2019-01-31,0.05912165409989058,0.017458240664758103,0.14330341674104816,0.8488175103794088,5.561548937668699
2019-02-01,0.060035266830345414,0.01895565415332636,0.1475011715700335,0.8414500294271596,5.69302463000862
2019-02-04,0.06262493273036243,0.0202565698892166,0.15181622499483421,0.8345419446686707,5.875303555537915
2019-02-05,0.06618242640959676,0.02045697924626154,0.15031120897176714,0.8355027328822092,5.697055819027398
2019-02-06,0.06813370782899683,0.01850631596393887,0.14608893794545916,0.8430493828992265,5.649073847976604
2019-02-07,0.06215219737779051,0.01740811543045485,0.1401582743755109,0.8501480058776633,5.595685905862183
2019-02-08,0.06295913450492249,0.01877645591961041,0.14540514944017127,0.8425054865154817,5.675610507674863
2019-02-11,0.06899035435794199,0.018616432121033286,0.1549806846073125,0.8359480504948009,6.134081866268411
2019-02-12,0.07088046462950402,0.01745938254278521,0.14843861342291692,0.8444216524312269,6.122318756739782
2019-02-13,0.07011841604711039,0.01786667544776088,0.15005414836918202,0.8428621222183117,5.955264332489525
2019-02-14,0.06824236655537617,0.018002285229759607,0.15013774960018159,0.8413328007381219,5.989158858901276
2019-02-15,0.06919144597769916,0.01773491885287099,0.14851748980827997,0.8441111006043255,5.982789982643556
2019-02-19,0.06785449945389298,0.017972274035662095,0.14952720025975436,0.8431565710681314,5.80690342397411
2019-02-20,0.06968451757563633,0.017945196862201307,0.14901393631382484,0.8420532188926756,5.835721315909249
2019-02-21,0.0689348295924783,0.01796964510066265,0.14881770383911763,0.8413719922479401,5.840558754954497
2019-02-22,0.07346254275126184,0.018028690100508636,0.14802401268069726,0.841135206986966,5.904196780849844
2019-02-25,0.07452080250188475,0.018262547712043917,0.14985035361895802,0.8380256112887886,5.907027151940268
2019-02-26,0.07169943297390208,0.018282235786639966,0.15215364607675064,0.8364767502678303,5.752049907104868
2019-02-27,0.0692814102014573,0.018287348976450835,0.15490002812829914,0.8342535567218136,5.615197436834455
2019-02-28,0.0682660017114798,0.018308558953109257,0.15620615524043543,0.8336742762592694,5.504264758300613
2019-03-01,0.07519379800691259,0.01863594073818284,0.1538805537259512,0.835600033938409,5.485546195840033
2019-03-04,0.07430556672709457,0.018910099893128984,0.15572931007806878,0.8350939435029625,5.353860215824123
2019-03-05,0.07124728562963856,0.0182469551164102,0.15544393247285473,0.8350263414128016,5.39314001168083
2019-03-06,0.06425182701623808,0.018815478817105397,0.1534815075917897,0.8365106712944749,5.402895608884379
2019-03-07,0.060123886162658,0.01933992238275973,0.1515214783933352,0.8363567718577655,5.656836695943361
2019-03-08,0.05785773347464584,0.018601093055303917,0.1484643889897616,0.8380309508616187,5.780605015942109
2019-03-11,0.06536701241910209,0.020510503424649277,0.15211648290118887,0.8339764551910371,5.874159500226589
2019-03-12,0.06310023324327724,0.020489214302288252,0.15253332901300246,0.8352078206569096,5.576890530416929
2019-03-13,0.0672300449278833,0.02000421307857864,0.14907591263605074,0.8365879881836586,5.815073072844097
2019-03-14,0.06815337955368382,0.01928740884086831,0.14437824102530541,0.8398902551220155,5.8368187036393815
2019-03-15,0.07196945508128853,0.018987062917215167,0.14162385278053408,0.8409666670374735,5.963552969002232
2019-03-18,0.07471372453280921,0.0187465642362816,0.13925906290461218,0.8411923194611198,6.1343039475698085
