,sigma_last
2019-01-03,1.8718367983129336
2019-01-04,2.016147840798935
2019-01-07,2.290173088405878
2019-01-08,2.109019599334353
2019-01-09,1.9684415094552357
2019-01-10,1.8139482305276855
2019-01-11,1.670496034774539
2019-01-14,1.5275054092498284
2019-01-15,1.4309922306258311
2019-01-16,1.360996092186494
2019-01-17,1.244181118374527
2019-01-18,1.2243755142275858
2019-01-22,1.2697418948902097
2019-01-23,1.3024402402071078
2019-01-24,1.1974654104629288
2019-01-25,1.1004446333906304
2019-01-28,1.0582290921145467
2019-01-29,1.0176827365146859
2019-01-30,0.9709341242178785
2019-01-31,1.0585846506823278
2019-02-01,1.0119792013657425
2019-02-04,0.9227050840981164
2019-02-05,0.887304712520588
2019-02-06,0.8536734794318006
2019-02-07,0.8206074624853388
2019-02-08,0.8406739881890039
2019-02-11,0.776912758576961
2019-02-12,0.7401916123850018
2019-02-13,0.8352168832836314
2019-02-14,0.7793974373625376
2019-02-15,0.7441341759567216
2019-02-19,0.7990163465738662
2019-02-20,0.7412309541439788
2019-02-21,0.6922566984345866
2019-02-22,0.6665543601095403
2019-02-25,0.6572662209829117
2019-02-26,0.6165461890399123
2019-02-27,0.5804362526871235
2019-02-28,0.5493795589061055
2019-03-01,0.5422438482623685
2019-03-04,0.5699978921522076
2019-03-05,0.5648967497594087
2019-03-06,0.5428764260967575
2019-03-07,0.5861602322255368
2019-03-08,0.6443951759899649
2019-03-11,0.623983820971296
2019-03-12,0.8022901592913639
2019-03-13,0.7460427979502137
2019-03-14,0.7314943004948024
2019-03-15,0.6826867195389552
2019-03-18,0.6555244968454422
2019-03-19,0.6221635526983788
2019-03-20,0.5875243232134534
2019-03-21,0.5740435202863221
2019-03-22,0.6746224092254949
2019-03-25,0.9743092239979877
2019-03-26,0.9004330045186157
2019-03-27,0.8687724815895933
2019-03-28,0.8341468765935526
2019-03-29,0.7865315757220877
2019-04-01,0.7708188947835696
2019-04-02,0.8176380961450084
2019-04-03,0.7693321530224815
2019-04-04,0.7280042854889026
2019-04-05,0.6869015024339966
2019-04-08,0.6648803180425095
2019-04-09,0.6293824973487381
2019-04-10,0.6456093994619521
2019-04-11,0.6177773114165322
2019-04-12,0.5893608549466052
2019-04-15,0.5938756886521174
2019-04-16,0.566226620539389
2019-04-17,0.5421964327469484
2019-04-18,0.5215928388230935
2019-04-22,0.49471765205963386
2019-04-23,0.4903818786032741
2019-04-24,0.5469373482813542
2019-04-25,0.5355771075073622
2019-04-26,0.5093486578634272
2019-04-29,0.5079376352718471
2019-04-30,0.4783128845643603
2019-05-01,0.4749117832845817
2019-05-02,0.5463414652808983
2019-05-03,0.5421589086456212
2019-05-06,0.6066759496420929
2019-05-07,0.632763570615871
2019-05-08,0.8889308827675431
2019-05-09,0.8267751984275538
2019-05-10,0.7842504873424303
2019-05-13,0.7754382915211747
2019-05-14,1.2200197154966776
2019-05-15,1.1508634471207515
2019-05-16,1.0925572664369245
2019-05-17,1.0563537182909795
2019-05-20,1.0083302331463804
2019-05-21,0.9795690301596642
2019-05-22,0.9591163603164183
2019-05-23,0.9053709612482085
2019-05-24,0.9696792645067956
2019-05-28,0.8995916491573918
2019-05-29,0.9044559289387892
2019-05-30,0.8952447825452993
2019-05-31,0.8451371535942102
2019-06-03,0.9525530526312058
2019-06-04,0.9218447615284266
2019-06-05,1.1608799473269984
2019-06-06,1.1109535248285825
2019-06-07,1.0707793143789444
2019-06-10,1.0594171478136813
2019-06-11,0.9979812041087941
2019-06-12,0.9283094895683414
2019-06-13,0.8701947566943504
2019-06-14,0.8261544386012619
2019-06-17,0.7747676352641226
2019-06-18,0.7297921195146408
2019-06-19,0.7590792227829837
2019-06-20,0.720665414543179
2019-06-21,0.7447299372509759
2019-06-24,0.7076546952102136
2019-06-25,0.6755074881521039
2019-06-26,0.7474140883353374
2019-06-27,0.7037817655205822
2019-06-28,0.6751876122376137
2019-07-01,0.6649112208747749
2019-07-02,0.6722638845658964
2019-07-03,0.6364655286644698
2019-07-05,0.6515290461234322
2019-07-08,0.6298596134868304
2019-07-09,0.6376401785533508
2019-07-10,0.6088220919262924
2019-07-11,0.5908288248095175
2019-07-12,0.5668138006582226
2019-07-15,0.5633566909613333
2019-07-16,0.5376031376135918
2019-07-17,0.5445329659619951
2019-07-18,0.590412891651242
2019-07-19,0.5713171025641811
2019-07-22,0.6067183748314731
2019-07-23,0.5812892616093561
2019-07-24,0.5927981010519351
2019-07-25,0.5822766839480731
2019-07-26,0.6036328533616873
2019-07-29,0.6219226844765466
2019-07-30,0.5997277772007148
2019-07-31,0.5984591332244567
2019-08-01,0.7282040165212933
2019-08-02,0.7831304114419391
2019-08-05,0.8381167723341877
2019-08-06,1.4987451156112805
2019-08-07,1.4381587127054742
2019-08-08,1.3392520299624882
2019-08-09,1.4245638128771068
2019-08-12,1.3460584567373497
2019-08-13,1.358607638870726
2019-08-14,1.3862410184410001
2019-08-15,1.798062716808195
2019-08-16,1.6470557415640923
2019-08-19,1.6076839520562096
2019-08-20,1.5444443138026163
2019-08-21,1.4616302237356327
2019-08-22,1.3752876275463632
2019-08-23,1.2649063479421974
2019-08-26,1.6209949129694403
2019-08-27,1.5429225669822109
2019-08-28,1.4259431171900263
2019-08-29,1.3302049678510637
2019-08-30,1.3217043913316422
2019-09-03,1.2155579835988952
2019-09-04,1.1634516977327911
2019-09-05,1.1507409262902577
2019-09-06,1.1764725186741682
2019-09-09,1.0820416798515682
2019-09-10,0.9946886871588053
2019-09-11,0.9168850500616523
2019-09-12,0.8871812793193643
