,mu,omega,alpha[1],gamma[1],beta[1]
2019-01-03,-0.0052843751161483704,0.0383259429426907,8.972010942125894e-13,0.3097702863556365,0.8195973760392216
2019-01-04,-0.00709657385807074,0.03691769408488708,6.905934150041765e-13,0.31851751664963424,0.8200545092102173
2019-01-07,-0.009838608965408549,0.03633245963136346,3.4650733100375926e-13,0.31385446642070297,0.8218896532553298
2019-01-08,-0.012191560971425885,0.03574410333016718,0.0,0.3102597686758186,0.8234458366772157
2019-01-09,-0.013829197972668083,0.03534683305792294,0.0,0.30757494014897413,0.8240930397833547
2019-01-10,-0.014961913831068431,0.035069081583153174,0.0,0.3059594316003631,0.824144081246986
2019-01-11,-0.015898699236485906,0.035055745007620175,0.0,0.30530208145289917,0.8233797050366085
2019-01-14,-0.018714131924019644,0.03518401828937109,0.0,0.30502005658015463,0.8227674233311669
2019-01-15,-0.018138688144016063,0.034318064647772366,1.2075344153549992e-11,0.30100572328526126,0.8246696342108164
2019-01-16,-0.017157912274203668,0.03448689905755622,0.0,0.3010765012718876,0.8231937156158592
2019-01-17,-0.016318276233181345,0.034069763361216344,0.0,0.2970643554641192,0.8242475164912129
2019-01-18,-0.012169740198618178,0.031988205695931256,1.6877856135974758e-11,0.2821882829322549,0.8316573360448156
2019-01-22,-0.017715894742439477,0.030377744485090962,1.2663782261383499e-11,0.2653552864687114,0.8410029892488756
2019-01-23,-0.017583189695794515,0.030316434184234953,0.0,0.2578529923942968,0.8425914280043802
2019-01-24,-0.01659626949306196,0.030341875777988248,0.0,0.25149445800652187,0.8435362499125217
2019-01-25,-0.01321064643844829,0.030062396234619287,0.0,0.2456670602526755,0.8448410191302202
2019-01-28,-0.014743878376127792,0.030229201308077713,0.0,0.24207946852821235,0.8454736116742535
2019-01-29,-0.015522827986839459,0.030588849690865266,1.3610961425372623e-12,0.2391209823350647,0.8451707416645766
2019-01-30,-0.008661901986387954,0.02969003637749446,8.506335739433567e-12,0.23272791144705152,0.8486081548707688
2019-01-31,-0.004348479178013233,0.029506927536800138,0.0,0.22998217311544666,0.8490669244922396
2019-02-01,-0.00285337247103322,0.03005865050845597,7.711269025132795e-12,0.2320741347043033,0.8463764980643939
2019-02-04,0.001336435553411448,0.030316303161301877,7.748812547234076e-12,0.23213849908504058,0.844928476374457
2019-02-05,0.0046137001177282535,0.029698213810929894,2.8435788867879894e-12,0.2259868127958139,0.8472666534122318
2019-02-06,0.003989667574714791,0.02679181757634134,2.936398292651e-11,0.2172730675372053,0.8568731066268573
2019-02-07,-0.0028906763356442537,0.027513091261346795,0.0,0.21969973675165844,0.8561920177456823
2019-02-08,-0.0020396842940991287,0.02798414134962389,0.0,0.22405024839974116,0.8529640867665491
2019-02-11,0.010525985765272139,0.026970860757372747,4.695780379870568e-12,0.22691415735860096,0.8566994152239297
2019-02-12,0.013279442167560536,0.026830962494055404,0.0,0.2264832267785003,0.8574159872393395
2019-02-13,0.011828610469296254,0.026737262049423404,1.6155338232497687e-11,0.23020695694619053,0.855626462599871
2019-02-14,0.009053089146800641,0.026469155906806003,0.0,0.2352314394719074,0.85362933014361
2019-02-15,0.012582787955194795,0.026539714238813208,0.0,0.23038393011967367,0.8553503492323743
2019-02-19,0.01133462951842567,0.026317963566486524,0.0,0.23378238063098755,0.8538245595582016
2019-02-20,0.012802252703304307,0.025896587930956266,1.7199721010320448e-11,0.23746240050188988,0.8519873546960575
2019-02-21,0.011168578222010185,0.025772677832380353,3.785161393239168e-15,0.2401719237431668,0.850920228932287
2019-02-22,0.01630638872226336,0.025655536171020062,0.0,0.23871145295530877,0.8506391286468649
2019-02-25,0.01735597362778383,0.025254889153722468,0.0,0.24341214057472751,0.8485392380123827
2019-02-26,0.014884919546313187,0.02492252656584998,3.348713134694737e-11,0.24719323071003377,0.8473942788287644
2019-02-27,0.013412694448950335,0.02443570643401784,7.123545315666967e-12,0.25063738247643524,0.846444529226683
2019-02-28,0.012676272608716493,0.02404304184048424,3.2512662450880136e-11,0.25715115697265745,0.8451697876918763
2019-03-01,0.02013525774527172,0.024268130443567022,0.0,0.2537553273951968,0.8454974250298589
2019-03-04,0.018945368292080326,0.024435350515713473,8.774772457956369e-12,0.2563214359391924,0.8452135120173303
2019-03-05,0.016790176378439083,0.02368697662330058,8.518595560880865e-12,0.2596782287321907,0.8446623699664475
2019-03-06,0.010205658233206858,0.024421771011374827,3.686830237231627e-12,0.259044209059925,0.8448171818226696
