,sigma_last
2019-01-03,1.5220917626634562
2019-01-04,1.9935595252340683
2019-01-07,1.8101988817170747
2019-01-08,1.6501033294161676
2019-01-09,1.5056552840974486
2019-01-10,1.3756066057206944
2019-01-11,1.2561075705788658
2019-01-14,1.1497593969170563
2019-01-15,1.1000278179515333
2019-01-16,1.0079274898709034
2019-01-17,0.9336669343341514
2019-01-18,0.8894931522977774
2019-01-22,0.8615212334565983
2019-01-23,1.080862133110772
2019-01-24,1.002280368634106
2019-01-25,0.9352773116318813
2019-01-28,0.8752705556445946
2019-01-29,0.9022829307858284
2019-01-30,0.8572646499847183
2019-01-31,0.8082857430782194
2019-02-01,0.7575559471715934
2019-02-04,0.714721635527567
2019-02-05,0.6823039419179417
2019-02-06,0.6711836747967033
2019-02-07,0.6515610518792877
2019-02-08,0.7606673618236087
2019-02-11,0.7396395611839572
2019-02-12,0.706785979356891
2019-02-13,0.6702054443746046
2019-02-14,0.6353854198163035
2019-02-15,0.6278090351857445
2019-02-19,0.5983608137882841
2019-02-20,0.5703099515449667
2019-02-21,0.5472381750678373
2019-02-22,0.5588066388350643
2019-02-25,0.5340195726522301
2019-02-26,0.512548578777589
2019-02-27,0.49486495768856237
2019-02-28,0.47859341692891216
2019-03-01,0.49420401671518016
2019-03-04,0.481220872297994
2019-03-05,0.5070737225907888
2019-03-06,0.49681058481185925
2019-03-07,0.5896744060001613
2019-03-08,0.6983320016006415
2019-03-11,0.6812536422505833
2019-03-12,0.6421761861158987
2019-03-13,0.6108813079345474
2019-03-14,0.5807859218209623
2019-03-15,0.5582098513824478
2019-03-18,0.534426065418389
2019-03-19,0.5115942610518133
2019-03-20,0.49304423465897257
2019-03-21,0.5146782683569802
2019-03-22,0.5445523162423095
2019-03-25,1.0463463492721612
2019-03-26,0.967939461968457
2019-03-27,0.9095543948265433
2019-03-28,0.8788417648922129
2019-03-29,0.8342224660659896
2019-04-01,0.7954611249013787
2019-04-02,0.7571041361709788
2019-04-03,0.7236291349166649
2019-04-04,0.6919667450555456
2019-04-05,0.6622882308416582
2019-04-08,0.6432743697759716
2019-04-09,0.6189009150534273
2019-04-10,0.662572539014653
2019-04-11,0.6363271935226879
2019-04-12,0.6135066059351485
2019-04-15,0.5903184255387297
2019-04-16,0.5706609281513355
2019-04-17,0.5525482880977939
2019-04-18,0.5469705306003073
2019-04-22,0.5292345980709419
2019-04-23,0.5237524060592986
2019-04-24,0.5075406800696659
2019-04-25,0.5103753235819692
2019-04-26,0.49759440173078684
2019-04-29,0.48342656987217864
2019-04-30,0.4684170156929675
2019-05-01,0.47331381010366275
2019-05-02,0.5916693946706356
2019-05-03,0.5881945434693576
2019-05-06,0.566500968706307
2019-05-07,0.60722471955593
2019-05-08,0.9827033940847667
2019-05-09,0.9240080935967323
2019-05-10,0.8782357966508965
2019-05-13,0.8590507595957416
2019-05-14,1.4393978229677278
2019-05-15,1.3262297862732213
2019-05-16,1.240003199287619
2019-05-17,1.1512650851405564
2019-05-20,1.1116839588344638
2019-05-21,1.0910707361635206
2019-05-22,1.018921187725469
2019-05-23,0.9712794828128296
2019-05-24,1.0712059422716527
2019-05-28,1.005396251548798
2019-05-29,1.0242743556018328
2019-05-30,1.0232231762045507
2019-05-31,0.9644475739444008
2019-06-03,1.098272689199111
2019-06-04,1.0540559271611658
2019-06-05,0.9902432640355749
2019-06-06,0.9326685134675903
2019-06-07,0.883406011331484
2019-06-10,0.8363734607116492
2019-06-11,0.7929258611137467
2019-06-12,0.7539726943249823
2019-06-13,0.7258352715876091
2019-06-14,0.6914177361919541
2019-06-17,0.6657849390774466
2019-06-18,0.6459028437623376
2019-06-19,0.6191396797194405
2019-06-20,0.605145357337271
2019-06-21,0.581327946264357
2019-06-24,0.5695357362334672
2019-06-25,0.5710567270386046
2019-06-26,0.7181504603989558
2019-06-27,0.6908011547271814
2019-06-28,0.6669776487201203
2019-07-01,0.6421932861681983
2019-07-02,0.6173834032236162
2019-07-03,0.597328536208397
2019-07-05,0.578681598563865
2019-07-08,0.5728754247489027
2019-07-09,0.6065676475560663
2019-07-10,0.5868040323566663
2019-07-11,0.5679978949853304
2019-07-12,0.5517355533963357
2019-07-15,0.5374366338738454
2019-07-16,0.5263246457109406
2019-07-17,0.5490370032124181
2019-07-18,0.6238385422659277
2019-07-19,0.6033894953484846
2019-07-22,0.6578218361367615
2019-07-23,0.6340240224277602
2019-07-24,0.6109130170904877
2019-07-25,0.590734289075092
2019-07-26,0.6298617866003654
2019-07-29,0.6074313809394922
2019-07-30,0.5945060634222722
2019-07-31,0.5992647373497194
2019-08-01,0.7850253758638437
2019-08-02,0.8646620292912911
2019-08-05,0.9514677878589394
2019-08-06,1.805774819092774
2019-08-07,1.6389879348466412
2019-08-08,1.519430702920289
2019-08-09,1.3960684220122543
2019-08-12,1.3387197664474038
2019-08-13,1.404529781529914
2019-08-14,1.3316899523686117
2019-08-15,1.9828130005709377
2019-08-16,1.8334211373245206
2019-08-19,1.6756986194756476
2019-08-20,1.5367396554627222
2019-08-21,1.4733562680832133
2019-08-22,1.353369582591122
2019-08-23,1.275074270521107
2019-08-26,1.7925560759187664
2019-08-27,1.6387464119068986
2019-08-28,1.513004613482483
2019-08-29,1.3976564645084646
2019-08-30,1.2887575547581351
2019-09-03,1.1958757148140768
2019-09-04,1.1657218081463485
2019-09-05,1.08886454576765
2019-09-06,1.0124605263542799
2019-09-09,0.9433654795704928
2019-09-10,0.881582710244255
2019-09-11,0.8323303043552942
2019-09-12,0.7859699584815447
2019-09-13,0.7451968550580793
2019-09-16,0.7148814529330708
2019-09-17,0.7069909797815617
2019-09-18,0.6756367767207947
2019-09-19,0.6520271479975335
2019-09-20,0.6362859817330626
2019-09-23,0.6673796314016035
2019-09-24,0.6504999047500326
2019-09-25,0.7483144025793806
2019-09-26,0.7120822971202379
2019-09-27,0.6918758836381254
2019-09-30,0.7096753274856498
2019-10-01,0.6827652892879287
2019-10-02,0.8853336005521226
2019-10-03,1.2008378437313352
2019-10-04,1.1279794983666027
2019-10-07,1.0474668902065645
2019-10-08,1.012102436138889
2019-10-09,1.222461126590647
2019-10-10,1.131508981710859
2019-10-11,1.0672353541345543
2019-10-14,0.9945186540923605
2019-10-15,0.9305125819861125
2019-10-16,0.8672556267705729
2019-10-17,0.8198108347520032
2019-10-18,0.7690823734001636
2019-10-21,0.7588708129320556
2019-10-22,0.7103423278013594
2019-10-23,0.6925618633244071
2019-10-24,0.6444070908535522
2019-10-25,0.5960876353235471
2019-10-28,0.5704717708219416
2019-10-29,0.5462344694098713
2019-10-30,0.5210383671176262
2019-10-31,0.5023192494089079
2019-11-01,0.5345932023570379
2019-11-04,0.5461241282681504
2019-11-05,0.522285852532724
2019-11-06,0.5066776756347969
2019-11-07,0.48403389975650846
2019-11-08,0.4664997835880711
2019-11-11,0.45189308075053536
2019-11-12,0.45754459777440903
2019-11-13,0.42964733292313156
2019-11-14,0.40932601344700204
2019-11-15,0.419618436140902
2019-11-18,0.4358489745185943
2019-11-19,0.42218673967454623
2019-11-20,0.4206854626148145
2019-11-21,0.4769206837239488
2019-11-22,0.47092509873064947
2019-11-25,0.4638761767476311
2019-11-26,0.46347511794613927
2019-11-27,0.45106002416616153
2019-11-29,0.4455626223444838
2019-12-02,0.5219777881882389
2019-12-03,0.7454157390240255
2019-12-04,0.8101702764903028
2019-12-05,0.7336646149013546
2019-12-06,0.6723856467971974
2019-12-09,0.6203900149223646
2019-12-10,0.6204039696261242
2019-12-11,0.5851385760801967
2019-12-12,0.5495048212793174
2019-12-13,0.5176229956569376
2019-12-16,0.49691074039024224
2019-12-17,0.4736560199924317
2019-12-18,0.45689029133195297
2019-12-19,0.4491386492465714
2019-12-20,0.4373103236665067
2019-12-23,0.42375081658322145
2019-12-24,0.40738826365626085
2019-12-26,0.42891256686388984
2019-12-27,0.41361398274747785
2019-12-30,0.4169089308947274
2019-12-31,0.5737309714424557
2020-01-02,0.5381173440887586
2020-01-03,0.5273407630097178
2020-01-06,0.7199038891152654
2020-01-07,0.6364507048100161
2020-01-08,0.6185348063367061
2020-01-09,0.5667135185843217
2020-01-10,0.5348205232013787
2020-01-13,0.5487322347840556
2020-01-14,0.5215174239741983
2020-01-15,0.5058045427638429
2020-01-16,0.4769919033081002
2020-01-17,0.45417924027574297
2020-01-21,0.43559786602973927
2020-01-22,0.4873243067713591
2020-01-23,0.4598915061721686
2020-01-24,0.44813819998377025
2020-01-27,0.8243181083999204
2020-01-28,1.3552165101162743
2020-01-29,1.1414048922723588
2020-01-30,0.9694377276413513
2020-01-31,0.8501532449598211
2020-02-03,1.4679650891428806
2020-02-04,1.2489766874026855
2020-02-05,1.066225828473805
2020-02-06,0.9117812553683625
2020-02-07,0.7924964200878051
2020-02-10,0.8143120130296011
2020-02-11,0.7066467783479052
2020-02-12,0.6263934327222155
2020-02-13,0.5610274504537887
2020-02-14,0.5386561462336753
2020-02-18,0.4989117596034858
2020-02-19,0.534836315626193
2020-02-20,0.496189271705798
2020-02-21,0.5700695042667747
2020-02-24,1.0883355073681202
2020-02-25,3.060671780013197
2020-02-26,3.5342277651534335
2020-02-27,2.873727328354636
2020-02-28,4.433856290352391
2020-03-02,3.6079698393769566
2020-03-03,2.8726460503691293
2020-03-04,3.3560721805824127
2020-03-05,2.6839624947935268
2020-03-06,3.6624211342999358
2020-03-09,3.3586955690626197
2020-03-10,7.412492579774701
2020-03-11,5.829194591453644
2020-03-12,6.360523752362795
2020-03-13,9.894207758925997
2020-03-16,7.935574794253704
2020-03-17,12.454563619526835
2020-03-18,10.078761407450981
2020-03-19,9.283496895016336
2020-03-20,7.376264995651981
2020-03-23,7.093803336291559
2020-03-24,6.261844270686791
2020-03-25,4.990302639365165
2020-03-26,4.091772667770936
2020-03-27,3.280485998736783
2020-03-30,3.9443938435250248
2020-03-31,3.1751574343986015
2020-04-01,2.949425194480595
2020-04-02,4.5112979307808105
2020-04-03,3.6431418574839936
2020-04-06,3.24125634776507
2020-04-07,2.6106286698443957
2020-04-08,2.1506064964534253
2020-04-09,1.7406461976714394
2020-04-13,1.4069808079524315
2020-04-14,1.5085189319844485
2020-04-15,1.2915606691646424
2020-04-16,2.1429225214074235
2020-04-17,1.7750236134063049
2020-04-20,1.4748623219992507
2020-04-21,1.944359628658836
2020-04-22,3.015247466154656
2020-04-23,2.4947220618471
2020-04-24,2.0721098568559015
2020-04-27,1.7232468810170682
2020-04-28,1.4318975566459222
2020-04-29,1.314428671325346
2020-04-30,1.1061556988908614
2020-05-01,1.2358529389111526
2020-05-04,2.4949390996509355
2020-05-05,2.094222620968401
2020-05-06,1.7678024433231452
2020-05-07,1.6050229898212385
2020-05-08,1.3502813906740838
2020-05-11,1.1158849577274663
2020-05-12,0.9937566757394782
2020-05-13,1.8566040990266168
2020-05-14,2.108211268309494
2020-05-15,1.7787417202318647
2020-05-18,1.5106411019054373
2020-05-19,1.2841486738897507
2020-05-20,1.39547986570749
2020-05-21,1.1853311045411028
2020-05-22,1.2079514480621536
2020-05-26,1.030188771572012
2020-05-27,0.8904713234387227
2020-05-28,0.7666254817036461
2020-05-29,0.6992780974065753
2020-06-01,0.6188388124180156
2020-06-02,0.5473124141294368
2020-06-03,0.5232054852571923
2020-06-04,0.4778490639724018
2020-06-05,0.6434400408290261
2020-06-08,0.9015908018042932
2020-06-09,0.8357746866743813
2020-06-10,0.9572859891840171
2020-06-11,1.0502289166196135
2020-06-12,4.328328328405905
2020-06-15,3.5948542754000963
2020-06-16,2.9868071357652357
2020-06-17,2.5743065011267174
2020-06-18,2.1461937417281427
2020-06-19,1.764453252563989
2020-06-22,1.509372035723939
2020-06-23,1.2335384359639299
2020-06-24,1.1647460353256176
2020-06-25,2.0728393001974714
2020-06-26,1.784990399497025
2020-06-29,2.269757212236113
2020-06-30,1.9744494268081314
2020-07-01,1.757383558895257
2020-07-02,1.481899484009502
2020-07-06,1.2568964849455508
2020-07-07,1.2258613974084185
2020-07-08,1.3125998238715806
2020-07-09,1.1430930865452855
2020-07-10,1.071920709434199
2020-07-13,0.9934298848794717
2020-07-14,1.1030396662546929
2020-07-15,1.0679378477153036
2020-07-16,0.9622719371525914
2020-07-17,0.8791216138874125
2020-07-20,0.7564134568242656
2020-07-21,0.7167635589533186
2020-07-22,0.6239599364724726
2020-07-23,0.614046557992413
2020-07-24,1.0306525008932932
2020-07-27,0.9996640688715175
2020-07-28,0.8991996275860293
2020-07-29,0.9173631866649369
2020-07-30,0.9300532411990502
2020-07-31,0.8637359681335326
2020-08-03,0.8023314592007058
2020-08-04,0.7465940927122587
2020-08-05,0.6587556916003403
2020-08-06,0.6212189652808163
2020-08-07,0.5903378262725931
2020-08-10,0.5243832097618258
2020-08-11,0.500980877229676
2020-08-12,0.7504028702300782
2020-08-13,0.8660662283885094
2020-08-14,0.7765317289774363
2020-08-17,0.6820373079921147
2020-08-18,0.6007586511319921
2020-08-19,0.545542380454826
2020-08-20,0.6109349836289771
2020-08-21,0.5449409422802678
2020-08-24,0.5081321532387497
2020-08-25,0.5830589415784058
2020-08-26,0.5336280700148444
2020-08-27,0.5987820732136062
2020-08-28,0.5357791948610515
2020-08-31,0.5297116777639643
2020-09-01,0.5394606175257761
2020-09-02,0.5648097874362246
2020-09-03,0.9288198601993977
2020-09-04,2.3843782791334167
2020-09-08,2.0676455504500386
2020-09-09,2.480825647495227
2020-09-10,2.268039185047677
2020-09-11,2.19800131356433
2020-09-14,1.8185373324263356
2020-09-15,1.625571346824286
2020-09-16,1.3640278196888493
2020-09-17,1.1944871743141965
2020-09-18,1.1669993597396078
2020-09-21,1.244184621032791
2020-09-22,1.3047326302423556
2020-09-23,1.2051738908561658
2020-09-24,1.8317362442473042
2020-09-25,1.5195948389033367
2020-09-28,1.4883014667270276
2020-09-29,1.47168386254981
2020-09-30,1.286570771469405
2020-10-01,1.1403468940854866
2020-10-02,0.9849582134951779
2020-10-05,1.073605190501101
2020-10-06,1.270335822487831
2020-10-07,1.410742976206148
2020-10-08,1.453943098224114
2020-10-09,1.2689103883802404
2020-10-12,1.1462439638896285
2020-10-13,1.2514508303394183
2020-10-14,1.161790470775415
2020-10-15,1.0955833270596935
2020-10-16,0.949884467480116
2020-10-19,0.8423512938158257
2020-10-20,1.245496069461521
2020-10-21,1.0859908534555507
2020-10-22,0.9602286428221684
2020-10-23,0.85645767210052
2020-10-26,0.7875967149441805
2020-10-27,1.3023721859813102
2020-10-28,1.2106558080275176
2020-10-29,2.4066478875683113
2020-10-30,2.099884805155707
2020-11-02,1.9088639321114371
2020-11-03,1.7280854392485208
2020-11-04,1.6979332542614836
2020-11-05,1.784962722476844
2020-11-06,1.7740413711839813
2020-11-09,1.5179677585627402
2020-11-10,1.3900201987162335
2020-11-11,1.1950674432904658
2020-11-12,1.0831658261035073
2020-11-13,1.1650381162909087
2020-11-16,1.188112020728937
2020-11-17,1.1524785410811986
2020-11-18,1.068958704556062
2020-11-19,1.2231126890210218
2020-11-20,1.0658863370852847
2020-11-23,1.0562870997545253
