,v_0,theta,kappa,sigma_v,rho,lam,muj,sigj,env: rf,env: S0
2020-01-03,0.006346864534217062,0.00010000001275176486,2.737759055715849,0.7976343347645715,-0.6108595996082287,0.27371484113627914,-1.3228999114211883e-05,0.005528434320123125,5.986543241132125e-05,3234.85
2020-01-10,0.004871444172500322,0.00010001744390358087,2.7521216141840132,0.8027842370583824,-0.6109922648809084,0.27353757165119935,-0.000669992030297749,0.005197037196522361,5.986543241132125e-05,3265.35
2020-01-17,0.002215313549342626,0.0001000007473724819,2.7933533496919787,0.8412471296265724,-0.6121618324517165,0.2721122183411138,-0.0005256362697473805,0.0037420627381924356,6.0647170438077325e-05,3329.62
2020-01-24,0.0020706651972155436,0.00010000013092708771,2.795405668057793,0.8411873468602803,-0.6120341784877263,0.27211990459338214,-0.002649531737266849,0.006008437418476733,6.0647170438077325e-05,3295.47
2020-01-31,0.0005062608851881877,0.00010001242653470101,1.9419734349121445,0.3935166395716242,-0.047631065715277185,0.18453492648744968,0.002268969054131891,0.002719088324110913,6.142875511461199e-05,3225.52
2020-02-07,0.0005079508750713963,0.00010015772809000678,1.9419726996050084,0.3935427533325281,-0.04762834684689905,0.1845345489413249,0.0021426672103655162,0.0027185841536603865,6.18194899655311e-05,3327.71
2020-02-14,0.00042966698153097086,0.00010000332677751797,1.9419023772184718,0.3953983616969963,-0.047492628298687986,0.18451736483072115,-0.00010397031921466644,0.002692565902796104,6.299146465793548e-05,3380.16
2020-02-21,0.00011984644925820643,0.00010319784666102114,0.029075526163588848,0.10056701186611054,-0.040580661170269476,0.027873427637248448,-0.0329432360652973,0.0004148303833543499,6.299146465793548e-05,3337.75
2020-02-28,0.001572211250737784,0.0001026442197780361,0.0028408067074269343,0.05887494199099996,-0.45174932129563633,0.02443386567991136,-0.04341189894513911,0.02370845425895556,5.71281408126012e-05,2954.22
2020-03-06,0.00046895773605044866,0.00010295293638085602,0.006099247284520172,0.04638998318521175,-0.41863290719452867,0.02796178367368551,-0.08111253259265909,0.02609103621045524,3.122651284970246e-05,2972.37
2020-03-13,0.0007462588032529397,0.00011031715925223246,0.003476071294688318,0.030506420183174326,0.03117866114828725,0.03132080570164583,-0.08459611560307001,0.0468017494344556,1.3073763831750185e-05,2711.02
2020-03-20,0.0014772632652049512,0.00013336258922158137,0.004481816297601876,0.03346780430941676,-0.019493222927604723,0.023958776391383222,-0.08358787881227918,0.0655322260189501,1.5869854708139286e-06,2304.92
2020-03-27,0.001312998584144933,0.00013358936182960966,0.004646123728120149,0.02896460474824115,-0.00795047022435987,0.02428635401074955,-0.05416551434480636,0.0631740842830171,3.968056356828953e-07,2541.47
2020-04-03,0.0007347412947295422,0.00024209884236894115,0.008291918234491985,0.039939908165555614,0.0032333087097029733,0.02558387790009857,-0.07099567691674036,0.05846144532324971,3.5698287639274184e-06,2488.65
2020-04-17,0.0004960978137424887,0.00032496525565870826,0.014430094915278632,0.04372967519698764,0.016464531357902653,0.026601634317071427,-0.04551976695133255,0.05664455862529145,4.759061227099792e-06,2874.56
2020-04-24,0.0004081987772918616,0.000617728101324956,0.02026613242311058,0.04299338459761847,-0.007256634757416151,0.029213745833898214,-0.029693865947483702,0.04283698476664477,3.966279028766451e-06,2836.74
2020-05-01,0.00032761882707240677,0.0006202702819047842,0.02257722888008622,0.04072897506769702,-0.008167879440494005,0.046733465422968884,-0.02101083203409229,0.035208308748178964,3.966279028766451e-06,2830.71
2020-05-08,0.00020532029007807567,0.0005259316952383707,0.02572232383981839,0.04377002272455747,-0.03982127353612298,0.04651254302402959,-0.003322032359529457,0.02932921418115841,3.966279028766451e-06,2929.8
2020-05-15,0.00020847968925495093,0.0005258909277885939,0.02575066234858065,0.04376992357467802,-0.03982126730961877,0.04651253137662351,-0.00332173850841362,0.029329142845180216,3.5698287639274184e-06,2863.7
