,v_0,theta,kappa,sigma_v,rho,lam,muj,sigj,env: rf,env: S0
2020-01-03,0.0033190071524764357,0.0010520912696457439,0.9698341252152035,5.882593859886447,-0.8461739870416196,0.005769772874606812,0.034109393752582026,0.05597670139276892,5.986543241132125e-05,3234.85
2020-01-10,0.003284399375222395,0.0016081918982058356,0.9092125465872861,5.944572868928156,-0.8511836136919414,0.0055039418757699176,0.03754952521669729,0.061582995285096996,5.986543241132125e-05,3265.35
2020-01-17,0.00304695310822376,0.000569143824696029,1.768073934275505,5.224691137551518,-0.8487492155089508,0.001771480446334956,0.007740202840432832,0.058144287544665746,6.0647170438077325e-05,3329.62
2020-01-24,0.0036695909929643227,0.0014206789535059498,1.1170595239172505,6.075913509255864,-0.8243873656807853,0.00450755400221414,0.04458074308047819,0.04604044984054319,6.0647170438077325e-05,3295.47
2020-01-31,0.003194607542467329,0.0002723238781042754,1.7289032938956757,5.22333797492865,-0.7891663499099457,0.0374158605909078,0.01806558721797799,0.02721680626401672,6.142875511461199e-05,3225.52
2020-02-07,0.003159151403429072,0.0021869721587880007,0.7451386189828835,6.777021419828907,-0.8625710285545797,0.0062941981844174865,0.035221425769559986,0.05765504170241224,6.18194899655311e-05,3327.71
2020-02-14,0.004121923739096603,0.0010021317978506754,1.4629189807955287,5.087241646127538,-0.8518837432719296,0.0022574359062963833,-0.0006896318967133277,0.05760965078649523,6.299146465793548e-05,3380.16
2020-02-21,0.0025760510529493678,0.0012337015572056395,1.5558054163021187,6.058991420865899,-0.8363437234287854,0.0011089221901875018,-0.036576640488976485,0.0519624681599249,6.299146465793548e-05,3337.75
2020-02-28,0.10200529654053686,0.000910001285594246,1.5695300905117482,4.475440548863943,-0.5622067215624478,0.0104612000621021,-0.022901300946611695,0.04160518901120297,5.71281408126012e-05,2954.22
2020-03-06,0.030939622240983223,0.0007279879934051097,1.4782383045225183,4.945299889549116,-0.6079783217542551,0.03270431772556803,-0.011776296588024041,0.07371208184654034,3.122651284970246e-05,2972.37
2020-03-13,0.0406687202057072,0.00024002911866251016,2.4370690041222853,2.8459794975524364,-0.4594420504076874,0.04750283259160977,-0.07405538206650902,0.05168997117040009,1.3073763831750185e-05,2711.02
2020-03-20,0.06912594623737303,0.00010222406231973354,4.501340669277015,2.426757848623933,-0.24900419997171244,0.061657780893143305,-0.08816581636173723,0.031568524185851515,1.5869854708139286e-06,2304.92
2020-03-27,0.040738399498720115,0.00010154082363716935,3.9378543037806524,3.094689082841009,-0.40889731456764294,0.09139073337103541,-0.06764450728056409,0.03868677038455234,3.968056356828953e-07,2541.47
