,mu,omega,alpha[1],beta[1]
2019-01-04,0.06721688142940752,0.04236239865357462,0.19964928713324964,0.7478940743905191
2019-01-07,0.06739368362910182,0.042145715121732125,0.19852653452560556,0.7488828204554214
2019-01-08,0.06773898237253848,0.04207856372064019,0.1981010214056136,0.749088807351104
2019-01-09,0.06765821673201636,0.042200421241677416,0.1979327036678919,0.7487047092871699
2019-01-10,0.06801060704853493,0.04239782611752037,0.19840954927787097,0.7476456628483994
2019-01-11,0.06827635992562792,0.04273866274180566,0.19923430007561596,0.7460175301452385
2019-01-14,0.06831641322603343,0.043048439966595464,0.20000537106561397,0.7445459660117548
2019-01-15,0.06925403019491938,0.043411930417136514,0.20143170110129419,0.7428906070614089
2019-01-16,0.06902238754985454,0.04398237927376779,0.2027799243504646,0.7406111853172069
2019-01-17,0.06921342029449354,0.043859245969397366,0.2023059105588139,0.7409629170108645
2019-01-18,0.06961077720274048,0.04312692329774384,0.2004074137231502,0.743816706937323
2019-01-22,0.0689977051717752,0.0427077100732644,0.1996300628592306,0.7453152176831308
2019-01-23,0.06911970584757536,0.042815262332038966,0.19936915516352785,0.7448592518985927
2019-01-24,0.06932166763263861,0.043136319382771945,0.19988543329349445,0.7434114173064504
2019-01-25,0.06971377999985938,0.043220210489774105,0.19972493491258103,0.7431650369969224
2019-01-28,0.06998678399110432,0.04348906541599511,0.20179097903309673,0.7415710623935262
2019-01-29,0.07002507294036851,0.04356345856184629,0.20142952678901774,0.7413472535620063
2019-01-30,0.07080022194195802,0.04312058824248978,0.2005821953349053,0.7432412098281114
2019-01-31,0.07121157858878259,0.04309399952697359,0.20001094110829193,0.7435847800778063
2019-02-01,0.07110353205167044,0.04304734860134061,0.1986179509470245,0.744369398632974
2019-02-04,0.07143681703342557,0.04325770942641286,0.19900663384882034,0.743356806888707
2019-02-05,0.07396261814397082,0.04282417846978452,0.19891370237975575,0.7446126269362613
2019-02-06,0.07363481564115758,0.04291350495229866,0.1989214723700371,0.7442387563432455
2019-02-07,0.0726840360536403,0.04284857986351303,0.1988285200356368,0.7445984126834178
2019-02-08,0.07228152659379534,0.04262759760226563,0.19753468371596045,0.7458530135995467
2019-02-11,0.07168398513609484,0.04247630596446884,0.19678363117569939,0.7466756801385402
2019-02-12,0.072378277921764,0.042349073863555325,0.19666817199236292,0.7474989120111868
2019-02-13,0.07164549378055865,0.042258900607761274,0.1963188186638426,0.7479385571764442
2019-02-14,0.07154064165897304,0.04231095469136806,0.19617459149591338,0.7478105108331754
2019-02-15,0.07160009118801476,0.04231436464763445,0.19628454012908528,0.7480102718952366
2019-02-19,0.07134697553205294,0.04229496166990693,0.19577745934809893,0.7482709615060213
2019-02-20,0.07155571898964588,0.04232503426928078,0.19579347425141483,0.7480176688183894
2019-02-21,0.07212995574716323,0.04239849559092831,0.1962995083276974,0.7474869442691332
2019-02-22,0.07205937042535057,0.042422948692322326,0.19636557106362212,0.7474198192141202
2019-02-25,0.07237030434646557,0.04233983656383894,0.19619646236752003,0.7475292496482208
2019-02-26,0.07188486623808853,0.04234004314417602,0.19636363242294488,0.7472784679907045
2019-02-27,0.0719575914177229,0.04219739527496002,0.19646954867570637,0.7472751892173451
2019-02-28,0.0715668331726316,0.04207959798661082,0.19659168855995557,0.7472539028801359
2019-03-01,0.07204812208109769,0.04207815617115773,0.19660545419689374,0.7472591285977355
2019-03-04,0.07153441439352065,0.04206725530186826,0.1968944918775169,0.7469241203009489
2019-03-05,0.07173126561368202,0.04191130906829373,0.19639766392265265,0.7474073118298974
2019-03-06,0.06953430225971236,0.04240308306558693,0.19731438572899096,0.7462001765948508
2019-03-07,0.06912679244119092,0.042423521875122286,0.19728924440215267,0.746361463874788
2019-03-08,0.06878890550327468,0.04216401551111312,0.19648281845791035,0.7472847954007881
2019-03-11,0.0709210203771179,0.04250173252618553,0.19863324566482066,0.745634759495659
2019-03-12,0.07120974542867281,0.04236355493345368,0.19811602339288142,0.7460470948529726
2019-03-13,0.07186547740934182,0.04234493815795705,0.1981418805988706,0.7459632028062525
2019-03-14,0.07209523829124108,0.04242554937902266,0.19855773492522677,0.7452567764824974
2019-03-15,0.073415605074819,0.0423601821754656,0.19892963259692703,0.74515699969629
2019-03-18,0.07388796475444527,0.04239800566726916,0.19918608598912146,0.7447285902773262
2019-03-19,0.07333278506178746,0.04240409685675246,0.19936630583962414,0.7444879817900549
2019-03-20,0.0725917043564206,0.042422149137926524,0.19949217931251148,0.744297722564821
2019-03-21,0.07399254897431384,0.042465738105568564,0.1991947746666164,0.7448833570437089
2019-03-22,0.0715939944071632,0.043241669735462486,0.2028001914469047,0.7420652227496144
2019-03-25,0.07171233944385372,0.04302480263244437,0.20125206155253217,0.7434217602332919
2019-03-26,0.07222084252426736,0.0429540764338369,0.2007665167282767,0.7438155316125473
2019-03-27,0.07182373863029858,0.04286349750276574,0.20004040805285808,0.7443619899479277
2019-03-28,0.07236391761548805,0.042912875443529404,0.19995460134629595,0.7441934642319449
2019-03-29,0.07277238519018386,0.042797215116487514,0.19964394645805944,0.7444984306616983
2019-04-01,0.07317143507909275,0.04263326333397561,0.19958172745113117,0.7449992718173541
2019-04-02,0.07293919557588062,0.04261319518686883,0.19896754969073385,0.7452517840640744
2019-04-03,0.07297329603127939,0.042630433785774954,0.19879060648837868,0.7450828850016267
2019-04-04,0.07339674241276406,0.042714376751207754,0.1993708293983216,0.7441537857264182
2019-04-05,0.0740809124992227,0.0428652427724395,0.2002169973162876,0.7429557791863906
2019-04-08,0.07452271887021392,0.04292560771691211,0.20068003963232742,0.7423948646251383
2019-04-09,0.07381854906996412,0.04290340209190413,0.19985192701500654,0.7431610992392086
2019-04-10,0.07429167835158111,0.04297939986008085,0.20051088746111043,0.7421830813521889
2019-04-11,0.07387313970230697,0.042720681709617056,0.19880950869095174,0.7435911833636639
2019-04-12,0.07583253135104978,0.041991967482523054,0.1976510616612334,0.7462927123416465
2019-04-15,0.07730202514514962,0.04179310237058159,0.19762826086019802,0.7466609038990428
2019-04-16,0.07683273916303582,0.0416820718444765,0.19748181653358685,0.7468820632997539
2019-04-17,0.07609636234816257,0.04157991240458352,0.19718469322054216,0.7472097549645045
2019-04-18,0.07487940201559702,0.04143831819115126,0.19748550764104117,0.747300230137929
2019-04-22,0.07486451429315251,0.04142081890040823,0.1980210970453465,0.7468308529779124
2019-04-23,0.0753729176668029,0.041755989210418065,0.1971617477160028,0.747134981631872
2019-04-24,0.07476878275454503,0.04167387294982731,0.19680346345063388,0.7474797881196799
2019-04-25,0.07513993676612903,0.04154813389660258,0.19687240309861706,0.7475422822604325
2019-04-26,0.07572095337008099,0.04152456421011006,0.19759615268653438,0.7469883925340786
2019-04-29,0.07740459995319504,0.04144109780844671,0.1984200941944626,0.7465505924153913
2019-04-30,0.07716822333153281,0.04136487058065385,0.1985787135945554,0.7464832368353116
2019-05-01,0.07513142528387678,0.04175720843671079,0.1975299415581284,0.7468284744929613
2019-05-02,0.07455497158782556,0.04161930528899974,0.19703994965215654,0.7473652250084952
2019-05-03,0.07584232713815228,0.04182321358520394,0.19805664392877992,0.7464459739112012
2019-05-06,0.07579363916198753,0.041737206032242,0.1981506274162577,0.7464652488301525
2019-05-07,0.0751356956880397,0.042629748459526544,0.20236750298422088,0.7426487539994777
2019-05-08,0.07627340224735835,0.042504787256150235,0.20137974663678074,0.7435876508870002
2019-05-09,0.07539313517568971,0.0424830597822706,0.20043657129327597,0.7442057982502918
2019-05-10,0.07552896432762243,0.04244187678955127,0.200272167907562,0.744229947074318
2019-05-13,0.07530236411223477,0.042350298861945995,0.20345294707393385,0.7441399772044647
2019-05-14,0.07391327716514563,0.042267497594595506,0.20191299361598955,0.745411665635976
2019-05-15,0.07406904044654129,0.04222104660103425,0.20147647121155407,0.7456301706956265
2019-05-16,0.07457889832742148,0.04215120886529865,0.20094118646119438,0.7460503361265002
2019-05-17,0.07605176265317803,0.041935713787431446,0.20064628843169574,0.7467450860778281
2019-05-20,0.07536739621929889,0.04203045573855487,0.20051496696446716,0.7466050058715936
2019-05-21,0.07527854009449719,0.04209521720521907,0.20062552957823424,0.7463530973716275
2019-05-22,0.07676584110279777,0.04195504506298206,0.20021660301746044,0.7468325241070737
2019-05-23,0.07534869029082925,0.0415181593418743,0.19940957656681166,0.7487245933081055
2019-05-24,0.07480537943140607,0.04172451076021808,0.19894576549481907,0.7485175863685162
2019-05-28,0.07380465616137954,0.04178395864042692,0.19871763850853238,0.7486744311090715
2019-05-29,0.07247142543878528,0.04176942372312082,0.19829053167485358,0.7490902507244888
2019-05-30,0.07262658012921834,0.04201914927238682,0.198189259172034,0.7485510474025869
2019-05-31,0.0712562547470018,0.04184470840688334,0.19774530422395645,0.7498191672614779
2019-06-03,0.07058593983400364,0.042045387038805365,0.19695967630995392,0.7499086581673376
2019-06-04,0.07249980463674434,0.04206782823873263,0.19923190161349308,0.7492341859014282
2019-06-05,0.07270488545711691,0.042160872494669016,0.19869695323148678,0.7493800863244447
2019-06-06,0.07256461296518715,0.04226233338621668,0.19823950880095906,0.7494040803174268
2019-06-07,0.07191340147896368,0.04229207895796111,0.1981106387951328,0.7495345120764965
2019-06-10,0.07137067961166059,0.04242913215542559,0.19762360278698748,0.7495327193311289
2019-06-11,0.07150874770075491,0.042635944176733845,0.19765189776942294,0.7489454273886055
2019-06-12,0.07174685414815958,0.042869776727966616,0.19821448218788618,0.7479207013654675
2019-06-13,0.0725601536690049,0.04304187475704038,0.1988079066339385,0.747023966256757
2019-06-14,0.07412062845234402,0.04311043529537642,0.1997365878100228,0.7461819556361714
2019-06-17,0.07380720287200726,0.043413538229763717,0.20050562653708884,0.7448983890813379
2019-06-18,0.07429265380950247,0.04332474252843407,0.1996439547363701,0.7459936296239196
2019-06-19,0.0743350554254331,0.043459809411240224,0.1999721742487464,0.7453606389100238
2019-06-20,0.0736858527936481,0.04342438995381313,0.19973920601289938,0.7459034495303518
