,sigma_last
2019-01-04,1.888684773308659
2019-01-07,1.694052604724539
2019-01-08,1.5148634182373604
2019-01-09,1.3566704960711964
2019-01-10,1.2172304263310898
2019-01-11,1.0939798693456786
2019-01-14,0.9868555620478185
2019-01-15,0.9477704383181063
2019-01-16,0.8609577692554955
2019-01-17,0.7872789224681598
2019-01-18,0.7324123697539849
2019-01-22,0.6936957221968123
2019-01-23,1.0340451087139768
2019-01-24,0.9382659296133758
2019-01-25,0.8555163490756235
2019-01-28,0.7881958788378471
2019-01-29,0.8564123363195992
2019-01-30,0.7923318791863274
2019-01-31,0.7369520951052668
2019-02-01,0.6817262007819384
2019-02-04,0.6361759655166423
2019-02-05,0.60390024739711
2019-02-06,0.5682556221182012
2019-02-07,0.559314703093271
2019-02-08,0.7546923481811705
2019-02-11,0.698813899995881
2019-02-12,0.6523385038387602
2019-02-13,0.6125459564055576
2019-02-14,0.5778208791416176
2019-02-15,0.5740082128648292
2019-02-19,0.545829555697631
2019-02-20,0.5216620732186917
2019-02-21,0.5019723131741799
2019-02-22,0.5305058172693176
2019-02-25,0.5091491727167382
2019-02-26,0.4913764093122808
2019-02-27,0.48049659978405074
2019-02-28,0.4701042443549784
2019-03-01,0.4914812134003512
2019-03-04,0.47684227305114585
2019-03-05,0.5192607515080908
2019-03-06,0.506349957184199
2019-03-07,0.6178276880211024
2019-03-08,0.7444213337586799
2019-03-11,0.7059763306483482
2019-03-12,0.6587661720690056
2019-03-13,0.6173899567340729
2019-03-14,0.581799795346636
2019-03-15,0.5561913139867155
2019-03-18,0.5300643653802496
2019-03-19,0.5080163970777004
2019-03-20,0.49063665507503623
2019-03-21,0.5107072987350392
2019-03-22,0.5120189276550499
2019-03-25,1.1875270061370007
2019-03-26,1.0716301246278814
2019-03-27,0.9722435971274953
2019-03-28,0.9256192994270525
2019-03-29,0.8446256496690857
2019-04-01,0.7780056933884245
2019-04-02,0.7273005592211886
2019-04-03,0.6732271735288409
2019-04-04,0.6268823618780788
2019-04-05,0.5873880675109718
2019-04-08,0.5572199788357126
2019-04-09,0.5327087482775884
2019-04-10,0.619685641125285
2019-04-11,0.5830334103536874
2019-04-12,0.5548031927606484
2019-04-15,0.5320740425272352
2019-04-16,0.5124514073483126
2019-04-17,0.49315191630886956
2019-04-18,0.498355351835866
2019-04-22,0.4811176678864739
2019-04-23,0.46953462756866704
2019-04-24,0.465648159304449
2019-04-25,0.4759679120881663
2019-04-26,0.4650315901003055
2019-04-29,0.45586118661214153
2019-04-30,0.446358781760681
2019-05-01,0.44149299198978553
2019-05-02,0.6149807218506158
2019-05-03,0.5957557903848891
2019-05-06,0.5695423086957127
2019-05-07,0.6072182571808021
2019-05-08,1.1075551051707757
2019-05-09,1.005053711654089
2019-05-10,0.9309398694697467
2019-05-13,0.8550482871183755
2019-05-14,1.593083442964221
2019-05-15,1.426822169451495
2019-05-16,1.2806475022663426
2019-05-17,1.157735349462795
2019-05-20,1.1020595632458363
2019-05-21,1.0735706307716422
2019-05-22,0.9769163836937926
2019-05-23,0.9078341919824783
2019-05-24,1.0741183515388855
2019-05-28,0.9740394567061117
2019-05-29,1.0098250171511924
2019-05-30,1.0016174493300822
2019-05-31,0.9122066229470596
2019-06-03,1.121084012422539
2019-06-04,1.0342459673329185
2019-06-05,0.9571922511124439
2019-06-06,0.8749861084255295
2019-06-07,0.8045702225286832
2019-06-10,0.7457117187022883
2019-06-11,0.6903719950228373
2019-06-12,0.6436639338439916
