,sigma_last
2019-01-04,1.9938725952489444
2019-01-07,2.330436327040495
2019-01-08,2.0877113084209045
2019-01-09,1.899111472709425
2019-01-10,1.6913851385292196
2019-01-11,1.5069166611890867
2019-01-14,1.3334588101646818
2019-01-15,1.2195168612506941
2019-01-16,1.173555034800004
2019-01-17,1.047753285487193
2019-01-18,0.998350205651846
2019-01-22,1.0657704527823133
2019-01-23,1.1714330980072432
2019-01-24,1.044712554710589
2019-01-25,0.9361310962941817
2019-01-28,0.9134106230534377
2019-01-29,0.9090688032044921
2019-01-30,0.827876876327172
2019-01-31,1.0048418466343878
2019-02-01,0.9701513255891395
2019-02-04,0.8710900876450363
2019-02-05,0.8319666797597574
2019-02-06,0.77321959648482
2019-02-07,0.7152960726358781
2019-02-08,0.7982018284001942
2019-02-11,0.7244219775716391
2019-02-12,0.6617784726492911
2019-02-13,0.8160497727274236
2019-02-14,0.7464714351139733
2019-02-15,0.6973404103495596
2019-02-19,0.7831970982381665
2019-02-20,0.7117822432148203
2019-02-21,0.651769870017613
2019-02-22,0.6286345589412944
2019-02-25,0.6317913478982171
2019-02-26,0.5816381176931215
2019-02-27,0.5414893710565184
2019-02-28,0.506277655747299
2019-03-01,0.5009309253927513
2019-03-04,0.5449594801662352
2019-03-05,0.5479758652481357
2019-03-06,0.5177665325580117
2019-03-07,0.5852747538169639
2019-03-08,0.6725198957319295
2019-03-11,0.6301532047947012
2019-03-12,0.8534542415717622
2019-03-13,0.777591082539191
2019-03-14,0.7586640358339518
2019-03-15,0.6928550469583339
2019-03-18,0.6604154434309397
2019-03-19,0.6196012973534556
2019-03-20,0.5712361354628199
2019-03-21,0.5555467139363228
2019-03-22,0.692831280392724
2019-03-25,1.103660917867549
2019-03-26,0.9912875245139411
2019-03-27,0.9370565270154193
2019-03-28,0.8791771841765733
2019-03-29,0.8038224665828467
2019-04-01,0.7774169146620652
2019-04-02,0.8578209968490422
2019-04-03,0.7764038282353858
2019-04-04,0.7066615178905472
2019-04-05,0.6456214460522535
2019-04-08,0.6180448323044742
2019-04-09,0.5713187141036811
2019-04-10,0.6111369678564603
2019-04-11,0.577234402932521
2019-04-12,0.5357617856894853
2019-04-15,0.5638726524881233
2019-04-16,0.5276518169130668
2019-04-17,0.4935629680580962
2019-04-18,0.48366012839337175
2019-04-22,0.4560585289199287
2019-04-23,0.4353356331958077
2019-04-24,0.5508646466006809
2019-04-25,0.5287241287226339
2019-04-26,0.4955993286548153
2019-04-29,0.49832580331896714
2019-04-30,0.46768284695100537
2019-05-01,0.44500613984198434
2019-05-02,0.5625063464335878
2019-05-03,0.5386363974154297
2019-05-06,0.6400497835805876
2019-05-07,0.6369927832716719
2019-05-08,0.9816152711861023
2019-05-09,0.8887945441765949
2019-05-10,0.8200437824732592
2019-05-13,0.7596932185968894
2019-05-14,1.3366327525945985
2019-05-15,1.2379986232750229
2019-05-16,1.1322796002221696
2019-05-17,1.08051514488177
2019-05-20,1.015712365296969
2019-05-21,0.9752481478931958
2019-05-22,0.9464948503700944
2019-05-23,0.8719546152187052
2019-05-24,0.9753177516155387
2019-05-28,0.8808616109510852
2019-05-29,0.8982249618437798
2019-05-30,0.8824481380797199
2019-05-31,0.8041037924167461
2019-06-03,0.9638854170073252
2019-06-04,0.8874709588543663
2019-06-05,1.2246477678155263
2019-06-06,1.1486205213045668
2019-06-07,1.0627545131560225
2019-06-10,1.0538858149750217
2019-06-11,0.9651644815055459
2019-06-12,0.8715170580154794
2019-06-13,0.7984281745252401
2019-06-14,0.7414042000461186
